docket_number,date_argued,justice,sentiment_score_afinn,sentiment_score_sentimentr,questions,interruptions,words_spoken,top_word,unigrams,most_positive_sentence,most_negative_sentence,caseName,petitioner_wins,justice_in_majority,voted_for_petitioner
17-1498,2019-12-03T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,FALSE,FALSE
17-1498,2019-12-03T00:00:00Z,JUSTICE BREYER,2.71428571428571,0.25515143036555,2,2,195,potentially,answer answer question question bring action result dig dirt physical potentially responsible party potentially responsible party send permission yeah send meet requirement potentially responsible parties dismiss win respect reach questions suspect fine potentially responsible parties potentially responsible potentially responsible potentially responsible,"I suspect there isn't, but am I right?","Perhaps they were potentially responsible, but they are not potentially responsible because",ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,JUSTICE ALITO,,,,,,,,,,ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,JUSTICE SOTOMAYOR,-0.176470588235294,0.198673813611201,12,23,656,ceiling,blatt unpackage mind start language statute interrupted finish laughter figure assume sake remedial plan court supplements contradicts disagree ceiling flaw floor leave floor ceiling moment blatt questions law requires law requires damages remedy trust remediation court law happen law requirement petitioner prove money awarded purposes claim confused law question fair question preempted meaning remand award damages proves claiming damages proves wrong ruling basic prove wrong opinion wrong opinion write missing step remediation approved burden potentially responsible parties landowners correct understand correctly prps landowners change provision prps landowners remedial action property agreeing blatt plan floor ceiling ceiling owner decide ceiling reading reading remedy requiring remediation awarded matter approval approval prp assume contiguous set arguments briefs putting landowner liable justices concept pollute encourage polluting financially liable,All right.,I interrupted you.,ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,JUSTICE KAGAN,1,0.312495871980911,0,3,108,arguments,blatt question bunch arguments writing statute michel significant garden guess completely policy decision congress provisions,"So, you know, look, that you can still, you know, make a garden.","I mean, look, if I were writing this statute, I would say it all goes to the",ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,JUSTICE GORSUCH,0.333333333333333,0.344749537851666,4,0,121,government's,government's prior representations permission granted government approve missed government's role finish site takings claim arises government's position remediation efforts period guess 45 prohibited landowners improved property prior level law,"Well, it's -- it's -- it's improved the value of the property from its prior state but not -- not to a level that state law would allow.","Is there -- is there a takings claim, do you think, that arises from the government's position that any remediation efforts for a period of, I guess, 45 years is prohibited by landowners?",ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,FALSE,FALSE
17-1498,2019-12-03T00:00:00Z,JUSTICE KAVANAUGH,2,0.301182980856493,0,1,47,action,indirect congress essence hinder landowner significant action decades answers significant action,"So your two answers are, one, it's only significant action and, two,","But it seems a very indirect way for Congress to have gone about this, as Justice Kagan says, to, in essence, hinder a landowner from doing any significant action for decades.",ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1498,2019-12-03T00:00:00Z,JUSTICE GINSBURG,6,0.231431290164024,3,3,78,save,law blatt suppose save savings statute save save independently answer question blatt landowners prps,So -- so what -- what do they save then?,It's -- it's the,ATLANTIC RICHFIELD CO. v. CHRISTIAN,TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,CHIEF JUSTICE ROBERTS,0,0.188237124848964,3,3,291,address,agree disagree judge posner's statement statute read encompass sexual orientation discrimination avoid placing entire burden updating statutes legislative branch questions laughter discriminatory policy applies equally relationships women relationships words friends emphasize sex individuals involved determine violation brings title 23 passing laws address issues extend coverage discrimination basis sex sexual orientation transgender include exemption religious organizations extending understanding sex encompasses address concern legislature extended compelled address laughter touche francisco minutes karlan,Please.,"How do you -- do you agree or disagree with Judge Posner's statement that the statute should be read to encompass sexual orientation discrimination to ""avoid placing the entire burden of updating old statutes on the legislative branch""?","BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,FALSE,FALSE
17-1618,2019-10-08T00:00:00Z,JUSTICE BREYER,-0.333333333333333,0.12728855856213,9,11,392,dah,mind basic language dealt parade horribles dealt bringing form briefs read opponent's terms imagine statute policemen dah dah dah pay damages passed time ago apply german policemen german policemen meaning german policemen policemen statute apply lot history dah dah dah box legal time congress dreamt words apply meant exclude gays transgender hear answer question fits fits yeah suppose suppose catholic jew married employer fires catholic catholics intermarriage race famous claim claim race religion difference couples woman catholics jews inter marriage exists promise people religious context inter marriage catholics jews unrealistic identical,All right.,"It's a serious legal argument, and the argument is that at the time Congress wouldn't have dreamt of this.","BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,JUSTICE ALITO,-1,0.142259261138469,4,8,481,sex,respond people court rule favor title deciding major policy question congress's mind 1964 congress repeatedly failed address characterized earlier conceding sexual orientation discrimination fits words title vii broader view congress mind premise core parties briefs comparisons head spin figure core attracted fired woman attracted fired discrimination basis sex correct explanations happened based sexual orientation based employer hire add attracted women fired woman attracted women fired idea basis discrimination sexual orientation sex discrimination basis sex sense congress understood 1964 concept discrimination basis sexual orientation fighting change meaning congress understood sex understood sex 1964 minute imagine decision maker veil ignorance subordinate reviewed candidates position candidate candidate job candidate attracted sex employer hire person reason discrimination basis sex employer sex individual involved,Okay.,"And the employer says: Okay, I'm going -- I'm not going to hire this person for that reason.","BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,FALSE,FALSE
17-1618,2019-10-08T00:00:00Z,JUSTICE SOTOMAYOR,-0.272727272727273,0.115762408500284,17,15,565,discrimination,exemptions bfoqs physical fitness standards sports issue raging country bathroom usage sex bathroom usage dealt absent congressional exemption bfoq karlan ahead finish karlan begging gorsuch's question differentiate legal test propose discrimination sex calling friend discriminatory harm test apply harm dress code hooters requires women wear scantily scant dress discriminatory discriminatory woman wear demeaning discriminatory restaurant hire transgender wear uniform scant uniform alluding heard explanation question actionable discrimination issue excuse understand context answer question employer applies hobbies sewing employer effeminate hobby gay hiring mixed motive parse sort substantial legal difference belief effeminate lesbian macho whichever attracted sex tease glossing bfoq meaning confusing concepts title harder law applies race discrimination religious discrimination forms national origin discrimination judge lynch homophobic stereotypes unrelated sexual orientation true homosexual orientation highly correlated people's stereotypes effeminate homosexual macho woman lesbian time difficult unwind difficult impossible theory impossible idea practice taking sex predictions desires wishes laws failed,"Well, aren't you --",We don't look to wishes.,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,JUSTICE KAGAN,-2,0.10297450356974,5,1,348,manhart,harris hypotheticals independent characteristics manhart seminal manhart independent characteristic life expectancy sort analysis happened happened woman independent characteristic life expectancy hypotheticals manhart simple test manhart discrimination title manhart women aggregate fine policy women aggregate life expectancy manhart makes aspect wrong classes wrong manhart looked classes wrong manhart looked individuals individuals manhart insisted apply test manhart insisted apply woman treated answer similarly guess applied test lose lose apply test statement talked history title,"Yes, but Manhart was very clear that women in the aggregate were probably going to be fine under this policy, because women in the aggregate do have a higher life expectancy.",What became wrong in Manhart was when you looked at individuals.,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,JUSTICE GORSUCH,-1.375,0.237580477149466,16,17,656,sex,extent account gender specific uniform requirements deal affected suffering harm talk absurd examples talk real world examples understand funeral homes example's bad realm question offer suggesting male female bathrooms dress codes innocuous people innocuous affected communities harm test deal address person reasonable wondering decide apologize idiosyncratic transgender person prefer bathroom biological sex idiosyncratic transsexual person dress style dress biological sex answer question question day understand acts discrimination title counselor answer isolate sole proximate language statute causation standard generous causation standard causal factors sex narrow sense biological gender response response focus sexual orientation sole primary causal factor firing response statute generous causal formulation causal formulation level sexual orientation surely play sex play change variable statute talks material causal factor formulation sole proximate linguistic formulation sex biological gender happened truth serum employer person sex acknowledged response comparator discussing contributing appears sex,Well counselor --,And they will find harm.,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1618,2019-10-08T00:00:00Z,JUSTICE KAVANAUGH,,0.214550357621885,2,0,38,meaning,drawing distinction literal meaning sex ordinary meaning sex supposed ordinary meaning,"Are you drawing a distinction between the literal meaning of ""because of sex"" and the ordinary meaning of ""because of sex""?","And, if so, how are we supposed to think about ordinary meaning in this case?","BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,FALSE,FALSE
17-1618,2019-10-08T00:00:00Z,JUSTICE GINSBURG,-3.22222222222222,0.134350106096587,9,19,795,women,karlan karlan answer 1964 congress's mind male sex relations criminal offense american psychiatric association labeled homosexuality mental illness karlan difference dothard disparate impact male prisoners guard females policy applied guarding women disproportionate effect women guards jobs guarding male prisoners female prisoners brought unlike race distinctions permitted required males females physical fitness tests test person injured differential based gender people injured separate bathrooms people prefer wait testing person injured allowed bathroom sex oncale oncale employer hire women platforms people hire woman suing male harassed employer's defense compare discriminates basis sex women hire women martin marietta applied women apply distinction price waterhouse suppose employer sufficiently macho women sufficiently feminine price waterhouse treat sufficiently macho treated ann hopkins understand sex discrimination injured injured response bathrooms complaining plaintiff people complaining plaintiff eligible injured separate bathrooms injured injured hypothetical airline hires women cabin attendants fires marry airline's defense sex discrimination women hire married unmarried sex violation title vii male complaining complainant woman fired married male complainant woman continue hypothetical hypothetical sprogis united airlines challenged hire cabin attendants fired woman married cheryl fly married attracted male passengers court appeals title actual actual males hiring male complaining court sprogis united airlines seventh circuit record employers employ lesbian women allegation person discharged announced gay record policy employer's discharging discharging lesbian women,But the male is not complaining.,There are many more male prisoners to guard than females.,"BOSTOCK v. CLAYTON COUNTY, GEORGIA",TRUE,TRUE,TRUE
17-1678,2019-11-12T00:00:00Z,CHIEF JUSTICE ROBERTS,1,0.156649184777654,1,2,366,bivens,reference government's position bivens 50 ago interim fairly dramatic change approach implying action statutes bivens 40 time recognized action bivens sort move half century explain approach prevailing legal regime 71 mentioned international relations diplomatic correspondence mexican government government respect incident border patrol conducted investigation reached determination action agent contrary policy courts avail providing bivens remedy opposite conclusion terms relations mexico agency inconsistent policy court type makes context difference terms relations mexico respect foreign relations country supposed speak voice fairly unfair characterization government representations fairly investigation day jury determination governmental investigation responsive international relations concerns responsive demonstrated simply context bivens question ortega,"Thank you, counsel.","And maybe it's -- at the end of the day, maybe a jury would come to a different determination than the governmental investigation, but I don't think that's fully responsive to the international relations concerns.",HERNANDEZ v. MESA,FALSE,TRUE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,HERNANDEZ v. MESA,FALSE,TRUE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE BREYER,1,0.138138970163601,4,2,291,amendment,supposed decide wrote dissent guess special american law enforcement american soil shooting american border special line river administered international commission dah dah dah wonderful reasons persuaded laughter taking assumption fourth amendment apply issue front assume fourth amendment applied violation fourth amendment question abbasi bivens action rogue violation fourth amendment takes sufficient abbasi term lost abbasi term extension fourth amendment special situation issue feel answer question hear care agree hear repeat assumptions extension special unusual,But the -- (Laughter.),"That, I thought, was the issue.",HERNANDEZ v. MESA,FALSE,FALSE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE ALITO,-3,0.0892377897666061,3,4,109,border,officer officer victim claim federal court challenging challenging constitutionality consistent border patrol policy provide basis federal claim fourth amendment action contrary border border patrol policy provide basis federal claim,Yes.,"-- I thought you were challenging the constitutionality of what was done, not whether it was consistent with border patrol policy.",HERNANDEZ v. MESA,FALSE,TRUE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE SOTOMAYOR,1.33333333333333,0.173745960307832,1,4,183,client,intentional torts rogue intentional torts limiting principle accepting force u.s land unreasonable claim standing border vladeck chief's question answer government's speaking voice government posited difference government executive rogue action security guard concluded based officer attacked shot allegations complaint contrary court rule favor client court jury found favor client speaking voices addressed,Well --,The allegations of this complaint are to the contrary.,HERNANDEZ v. MESA,FALSE,FALSE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE KAGAN,-1,-0.106756952521018,2,0,128,branch,vladeck incident executive branch view happened court court unconstitutional conduct excessive force executive branch book subject subject action disciplinary court's decision contrary mexico extradite border patrol officer executive branch difficult situation mexico court judgment executive branch earthly reason extradite,"But what if, Mr. Vladeck, you had -- you have this one incident and the executive branch had a very different view of what happened than a court did?","A court said there was unconstitutional conduct here, the use of excessive force.",HERNANDEZ v. MESA,FALSE,FALSE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE GORSUCH,-0.666666666666667,0.110741396349761,9,9,264,draw,distinguish question pick limiting principle foreign national injured abroad action united lot encompass cross border shootings kinds torts occur transnationally capture shooting understand limited law enforcement opposed governmental functions happen happen injure persons abroad draw line actively actions involving military operations diplomatic operations operations government bivens action law enforcement means operations ah ah draw line court supposed draw draw line plausibly court draw line,All right.,Why would it be limited to law enforcement as opposed to other governmental functions that happen here but happen to injure persons abroad?,HERNANDEZ v. MESA,FALSE,TRUE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE KAVANAUGH,,0.0119362577659734,2,1,94,apply,argue ahead bivens statute effect apply presumption extraterritorial application argues statute apply circumstance answer argue foreign policy implications identified border security national security respects context slightly foreign relations address,Go ahead.,"They argue it's not merely the foreign policy implications that the Chief Justice identified but that border security is also national security in some respects and that that's a different context, slightly different than the foreign relations.",HERNANDEZ v. MESA,FALSE,TRUE,FALSE
17-1678,2019-11-12T00:00:00Z,JUSTICE GINSBURG,-3.5,-0.0314304649339776,3,3,156,abroad,suppose suppose 1983 officer bureau narcotics agents bivens action officer victim hernandez court citizen injured abroad fourth amendment rights arid discussion day federal constitutional asserted citizen injured abroad question breaking someone's home searching seizing fourth amendment violation person citizen happened abroad cross border shooting complicated,Tell me --,"If breaking into someone's home and searching and seizing, if that's not a Fourth Amendment violation because the person is a non-citizen and it happened abroad, you said a cross-border shooting is more complicated.",HERNANDEZ v. MESA,FALSE,FALSE,FALSE
17-1712,2020-01-13T00:00:00Z,CHIEF JUSTICE ROBERTS,-0.611111111111111,0.163001930717341,8,7,461,million,depend forward theory injury words conflict allege lead situation direct financial harm theory situation hurt hurt purely retrospective person common trust law regarded bad inquiry rule worry harm clients lose friend position win lose situations abstractly 600 million fund feel comfortable clients everyone's benefits 8 million fund fraud reduces 800 million 700 million sue misconduct trustee understood meant hypothetical suppose property secure client's property beneficiaries property completely secure gates hypothetical suggesting suggesting security protected loan destroyed hypothetical abstract alleged wrongfully affect financial security defined benefit plan sue person's bad guy lesson article iii tangible injury plaintiff hypothetical 600 million's secure trust corpus 800 million 700 million injured terms article iii ahead briefly joshi giving adequate weight history significance article palmore,"Well, that --",Do you think you could sue on that -- that misconduct by the trustee?,"THOLE v. U.S. BANK, N.A.",FALSE,TRUE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,"THOLE v. U.S. BANK, N.A.",FALSE,TRUE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE BREYER,-0.142857142857143,0.398222251204445,8,12,676,sue,remember 15th century surprisingly nonetheless laughter quick research suggests duties fiduciary duties duty loyalty duty prudence respect loyalty pretty accurate people trust beneficiary sue trustee breach loyalty invested investment helped duty prudence life beneficiary sue loss income risk loss income sue remainderman sue injuries principal trust safe sue analogy draw yeah sue duties breach loyalty duties breach prudence remainderman sue money trust funded sources remainderman's income paid body corpus eventually hurt talking contingent contingent set property body money remainderman receive contingent body hard difference remainderman beneficiary ahead finish ahead spend 15 law stock market time underfunded time overfunded overfunded everybody's lot law prevents class action time talking yesterday prevents prevent prevents standing prevents dah dah dah understand law standing business protect answer protects law duty prudence means bad investment bad investments trustees dah dah dah prevents roller coaster suits beneficiaries stock market's finished roller coaster answer yeah merits,All right.,A remainderman had no interest.,"THOLE v. U.S. BANK, N.A.",FALSE,FALSE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE ALITO,2.2,0.344779353386603,3,4,137,trust,strong arguments question time arguments based congress granted sue arguments based analogy trust law erisa pled pled compliance article push analogy trust law trust settlor trust obligation step increase amount money trust ensure beneficiaries paid difference situation trust law,But you -- you have some strong arguments.,I -- I want to get this one question in before your time is up.,"THOLE v. U.S. BANK, N.A.",FALSE,TRUE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE SOTOMAYOR,,,,,,,,,,"THOLE v. U.S. BANK, N.A.",FALSE,FALSE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE KAGAN,,,,,,,,,,"THOLE v. U.S. BANK, N.A.",FALSE,FALSE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE GORSUCH,1.16666666666667,0.233283205662749,6,5,269,plan,chief's finer light admirable job defined benefits plan defined contribution plan defined contribution plan defined benefits plan menu options varied clean option dirty client invest sue law trusts 15th century remoteness limitation sue article propose hypothetical defined contribution plans trustee left discretion paid extra throw contribution plan result single beneficiary sue investments clean else's defined contribution plan plan dirty follow sue alito's meteor likelihood discretionary benefit trustee chance hit meteor article,Most of them are clean.,"So I think you would say the result would be that every single beneficiary could sue, even if all of their investments are clean, for somebody else's defined contribution plan where the -- where the -- where the plan might be dirty; is that right?","THOLE v. U.S. BANK, N.A.",FALSE,TRUE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE KAVANAUGH,0.545454545454545,0.231914092535577,4,11,276,history,congress plan employer pbgc mentioned play combination plan employer pbgc practical answer alito's question united government exceed benefits clients tension close history strong answer question 99.99 percent benefits promised resolve tension odd grant standing chances hand history history role interrupt pbgc history role guarantees stop combination plan employer deference afforded plan administrators merits properly applied,But they exceed the benefits of your clients in this case.,"And the combination of the plan, the employer, and the PBGC, doesn't that make the practical answer to Justice Alito's question --","THOLE v. U.S. BANK, N.A.",FALSE,TRUE,FALSE
17-1712,2020-01-13T00:00:00Z,JUSTICE GINSBURG,-1,0.249759044293315,1,0,88,bank,finish clarify precise actions fiduciary assailing district court challenge 100 percent equity investment table time barred bank affiliated funds bank ago rid,All right.,So I think that that's out of the case.,"THOLE v. U.S. BANK, N.A.",FALSE,FALSE,FALSE
17-834,2019-10-16T00:00:00Z,CHIEF JUSTICE ROBERTS,1,0.316722559680979,1,1,76,9s,agree result information harvested 9s words officials employers 9s gather information kansas prosecutions michel hughes,Yes.,Mr. Michel.,KANSAS v. GARCIA,TRUE,TRUE,TRUE
17-834,2019-10-16T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,KANSAS v. GARCIA,TRUE,TRUE,TRUE
17-834,2019-10-16T00:00:00Z,JUSTICE BREYER,-1.22222222222222,0.0714103348913291,11,7,519,9,law crime alien information form information referred federal statute crime fraudulently employer purpose obtaining job ah opinion holding forever laughter words repeat information 9 called 9 papers referred alien employer purpose pretending job preempted differs defines law applied broader arguments prosecutors complaints charged identifying information documents information 9 defraud person guess receive benefit benefit job information 9 defraud employer job difference question true allegation criminal people defendants aliens submitted information 9 form 9 form 9 form submitted job submitted job paid taxes suspect submitted job employer person wrong statute prosecute roughly federal statute reserves federal government question question figure sounds,Yes.,"I would just say, if this statute is used by a state to prosecute, roughly, the very thing that the federal statute reserves to the federal government, they can't.",KANSAS v. GARCIA,TRUE,FALSE,FALSE
17-834,2019-10-16T00:00:00Z,JUSTICE ALITO,-0.333333333333333,0.0659201351348074,3,1,174,9,question time expires meaning language 5 information contained 9 understand fits language statute information means contained 9 social security address applicant employment 9 agree produces ridiculous results purpose understand interpret 9 9 fit language statute,"Information means generally a fact, all right?",That -- that produces ridiculous results.,KANSAS v. GARCIA,TRUE,TRUE,TRUE
17-834,2019-10-16T00:00:00Z,JUSTICE SOTOMAYOR,-7.66666666666667,0.125947074234009,8,10,428,fraud,unpackage bit position conceding prosecute false statements 9 form correct meaning preemption language form precise language information contained employment verification meaning understand independent verification criminal check criminal law check employment verification correct concede conceding understand sue prosecute someone's fraud 4 u.s victim correct fraud government 4s submitted government tax purposes correct power power prosecute crimes u.s victim real separation powers permissible prosecute claim field preemption calling fraud law victim u.s ah stolen social security fraud submitting 4 government 4 answer theory 4 trial record argued sets juries arizona forget rest purposes related fraud sections federal code limiting fraud related employment verification seeking job focus,"Well, Arizona.","Ah, that's stolen Social Security, but that's different than the fraud that -- of submitting the W-4 to the government.",KANSAS v. GARCIA,TRUE,FALSE,FALSE
17-834,2019-10-16T00:00:00Z,JUSTICE KAGAN,-2.66666666666667,0.15825060927025,3,1,273,arizona,kavanaugh's question recognized 9s prosecute aliens acknowledge 4s 9s ability conduct prosecutions 9s effect congress's bar 9s question perspective decision arizona decision arizona prosecute unauthorized employees seeking employment tool single essentially eviscerates arizona talking extending arizona suggesting issued arizona michel sort question speaking law regulates fraud authorization process preempted guess question kansas applicable law applicable laws regulate fraud authorization process statute applicable results follow,"Well, Mr. Michel --","And I guess the question here is Kansas has a generally applicable law, but even generally applicable laws can be used to regulate fraud in the work authorization process, and when a statute, even though generally applicable, is used in that way, shouldn't the same results follow?",KANSAS v. GARCIA,TRUE,FALSE,FALSE
17-834,2019-10-16T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,KANSAS v. GARCIA,TRUE,TRUE,TRUE
17-834,2019-10-16T00:00:00Z,JUSTICE KAVANAUGH,1,0.14505785072753,1,3,148,employment,9 form tax forms virtually employment social security forms essence unauthorized employment pretty substantial notwithstanding congress giving federal government role employment verification answer concern arizona's language unauthorized employment focus focus 9 tax forms social security lot prevail,But I think --,"So how do you answer that concern, and, in particular, I think Arizona's language on unauthorized employment?",KANSAS v. GARCIA,TRUE,TRUE,TRUE
17-834,2019-10-16T00:00:00Z,JUSTICE GINSBURG,1.2,0.0612137631399465,3,1,193,9,telling schmidt prosecutor initially charged false social security 9 prosecutor appreciated 9 charge deleted package submitted employer package 9 withholding form federal discrete episodes tax form 9 tax form benefit gain employment gain employment filling withholding forms easy circumvent 9 switch forms submitted time represent change government's position government's prior position documents employee prospective employee filing time 9 preemption,It's so --,You can't gain employment without filling out those withholding forms.,KANSAS v. GARCIA,TRUE,FALSE,FALSE
18-1023,2019-12-10T00:00:00Z,CHIEF JUSTICE ROBERTS,-0.4,-0.0749038306458091,1,0,198,appropriations,length reliance insurance companies basically seduced program lawyers constitution money treasury pursuant appropriations clause sat insist appropriations provision hook 12 billion reliance subject qualification yeah understand raised hand hey appropriations provision money mandating statute wrong clement argue laughter strikes appropriations clause sitting pretty yellow light kneedler,(Laughter.),But I think the reliance argument has to be taken at least subject to the qualification.,MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,TRUE,TRUE,TRUE
18-1023,2019-12-10T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,TRUE,TRUE,TRUE
18-1023,2019-12-10T00:00:00Z,JUSTICE BREYER,1,0.395197439204349,3,2,27,contract,contract yeah authority contract,Is there some authority that says this isn't a contract?,"Yeah, but why isn't it one?",MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,TRUE,TRUE,TRUE
18-1023,2019-12-10T00:00:00Z,JUSTICE ALITO,-2,0.301993628242035,10,6,287,fund,included original legislation appropriations riders included original legislation difference law government pay money premiums identified source pay difference statutory provision person monetary statutory provision entity company paid infer action situation special solicitude insurance companies damages remedy fund fund identified opportunity study detail identify source judgment fund pay billions dollars reasonable insurance companies congress refusing money pay worry sue money billions dollars judgment fund court effect required congress judgment fund billions dollars private businesses,"Well, what is the --","Can you identify any source, other than the Judgment Fund, that could be used to pay these billions of dollars?",MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,TRUE,FALSE,FALSE
18-1023,2019-12-10T00:00:00Z,JUSTICE SOTOMAYOR,0.333333333333333,0.101288204632012,2,3,81,act,mister clement scalia dissent salvage observations win day sentence distinguishing mandate mandating tucker act payment pay language statutes,Mister --,So how do we -- how do we salvage his observations when it didn't win the day in that case?,MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,TRUE,TRUE,TRUE
